Name,Symbol,FloorCount
Almetris Duren Residence Hall,ADH,9
Athletic Fields Pavilion (Rehab),AF1,1
Athletic Fields Pavilion (Eastside),AF2,1
Athletic Fields Pavilion,AFP,1
Anna Hiss Gymnasium,AHG,2
Arno Nowotny Building,ANB,3
Andrews Dormitory,AND,5
Animal Resources Center,ARC,6
Art Building and Museum,ART,5
AT&T Executive Educ & Conf Center,ATT,8
Batts Hall,BAT,5
L. Theo Bellmont Hall,BEL,11
Benedict Hall,BEN,5
Biological Sciences Greenhouses,BGH,1
Brackenridge Hall Dorm,BHD,6
Biological Laboratories,BIO,7
Blanton Dormitory,BLD,7
Jack S. Blanton Museum of Art,BMA,5
Belo Center for New Media,BMC,8
Biomedical Engineering Building,BME,10
Blanton Museum Smith Building,BMS,5
Biological Greenhouse,BOT,2
Bernard and Audre Rapoport Center,BRB,5
Brazos Garage,BRG,8
Basketball Support Bldg (RecSport),BSB,1
Battle Hall,BTL,7
Burdine Hall,BUR,8
2616 Wichita,BWY,3
Calhoun Hall,CAL,7
College of Business Administration,CBA,10
Conference Center Garage,CCG,4
John B. Connally Center for Justice,CCJ,4
Comal Child Development Ctr Annex,CDA,1
Collections Deposit Library,CDL,6
Continuing Engineering Education,CEE,2
Liberal Arts Building,CLA,7
Caven Clark Field Support Building,CLK,1
Jesse H. Jones Comm. Ctr. (Bldg. A),CMA,9
Jesse H. Jones Comm. Ctr. (Bldg. B),CMB,10
Comal St. Child Development Center,CML,1
Computation Center,COM,1
Compactor Building,CPB,1
Chemical and Petroleum Engineering,CPE,7
Computational Resource Building,CRB,2
Carothers Dormitory,CRD,4
Creekside Residence Hall,CRH,3
Central Chilling Station No. 3,CS3,2
Central Chilling Station No. 4,CS4,2
Central Chilling Station No. 5,CS5,2
Central Chilling Station No. 6,CS6,5
Central Chilling Station No. 7,CS7,4
Carothers Dorm Substation,CSS,1
Cooling Tower 1,CT1,2
Denton A. Cooley Pavilion,DCP,3
Development Office Building,DEV,5
E. William Doty Fine Arts Building,DFA,5
UFCU Disch-Falk Field,DFF,3
Dell Pediatric Research Institute,DPI,4
Dinosaur Trackway Bldg.,DTB,1
Equipment Storehouse # 10,E10,1
Equipment Storehouse # 11,E11,1
